acomodar_lectura,Nicolas,Reemplaza en una lista todos sus elementos
analisis_linea,Nicolas,Se le pasa una lista con las palabras encontradas y se fija si realmente alguna esta,ACLARACION la funcion indice vaciado va a darme el indice en el cual encuentra ambas palabras en la lista para separarlas.Ya sabiendo que ambas se van a encontrarpero solo si estan las dos juntas en la misma lista.,Lo hago en cada una porque sino me corre el indice anterior.
analizador_funcion,Nicolas,Analizara la funcion para enviarla a las listas correspondientes,Si sale de este while esta por empezar otra funcion o leyo el fin de archivo.,La utilidad que le doy a acomodar_lectura es a limpiar un poco el texto. Se acomoda mejor en las listas y no quedan cosas pegadas a las palabras que pueden complicar la comprension del texto cuando quiera buscar datos.,Preguntare si abrio una triple comillas y nunca lo cerro. Eso nos estaria diciendo que el comentario no finalizo.
archivos,Nicolas,Esta funcion inicia el proceso de archivos,Esta funcion guardará cada archivo ordenado en una lista,Este indice lo creo para distinguir los archivos,Abro ruta dentro de programas.txt,Finalizado el proceso del codigo entraremos a la mezcla final.,Por ultimo borramos los archivos creados antes de la mezcla
autor,Lucia,Indica el nombre del autor de la función
ayuda,Lucia,verifica si hay o no un comentario de ayuda dentro de la función
borrador,N/N,N/N
buscar_dato,Nicolas,Se le pasa una lista con datos a buscar en la linea del archivo
buscar_funciones,Juan Godoy,Va buscando en los archivos la funcion que necesito
carga_informacion_desarrollador,Alejandro,N/N
comentarios,Nicolas,Este es el sector que corresponderia al analisis de la linea del archivo que corresponde a comentarios,Esto es condición para que cuando encuentre la almohadilla salga del while,Si entro aca es porque el comentario es entre medio de una linea.
contador,Lucia,Cuenta la cantidad de veces que aparece el elemento que se le le pasa por parametro
crear_filas,Sofia Marchesini,Empiezo la primera parte de crear la tabla,marco el rango para que finalice al terminar la cantidad de funciones,agrego la fila a la lista nueva_fila y reinicio la fila cada vez que es terminada la referida a una funcion en particular,creo la fila de cada una de las funciones referidas por el rango,recorro todas las funciones que tiene como clave el diccionario creado previamente,como recorro en a todas en el mismo orden la fila saldra siempre ordenada,veo si la funcion del primer for esta en las funciones llamadas de la funcion del segundo for,si es llamada agrego una x a la fila,veo si la funcion del segundo for es llamada por la funcion del primer for,si la llama agrego la cantidad de veces que la llama a la fila,voy sumando al total de la funcion recorrida las veces que llama a la funcion en la que estoy parada,si no es llamada ni llama agrego un string vacio
crear_tabla,Sofia Marchesini,Empiezo a crear la tabla,"creo la primera fila con el string ""funciones"" y los numeros que indican las funciones en las columnas",incluyo todas las filas creadas en crear_filas dentro de la tabla central,finalizo la tabla con la ultima fila que contiene el total de invocaciones
eliminar_archivos,Nicolas,Elimina archivos del directorio
encontrar_palabras,Nicolas,Encuentra las palabras autor o ayuda o le pone N/N para que se note la falta de un autor
extraigo_linea,Lucia,Analizara las lineas de la funcion y devolvera un dic modificado
formateo_linea,Juan Godoy,Funcion que hace que cada linea no tenga mas de 80 caracteres
formato_interrogacion,Juan Godoy,Un formato visual para las opciones con interrogacion
formato_numeral,Juan Godoy,Formato visual para las opciones numeral
funciones_invocadas,Sofia Marchesini,esta funcion crea un diccionario con todas las funciones como claves. El diccionario tendra como valor como un diccionario compuesto por la funcion que invoco y el valor las veces invocada. Si no invoca ninguna funcion aparecera la lista vacia funcion1 {funcion2 n veces} funcion 1 llama a funcion 2 n veces
generar_archivo,Nicolas,Genera un archivo a traves de un iterable y si lo necesitas te lo devuelve abierto
grabar_archivo,Nicolas,Graba linea en un archivo pasado por parametro
guardar_archivo,Alejandro,Lee archivo_aux.csv extrae la informacion y realiza la mezcla respectiva para luego eliminar archivo_aux.csv
imprimir_analizador,Sofia Marchesini,imprimo la tabla y la copio al archivo analizador.txt,leo las lineas del analizador ylas imprimo
imprimir_panel,Lucia,Crea la una tabla
imprimir_tabla_desarrollador,Alejandro,Imprime la tabla para desarrollador
imprimir_todo,Juan Godoy,imprime en un archivo .txt lo relacionado con la opcion ?
indice_vaciado,Nicolas,Esta funcion recibira una lista con datos que podra ir borrando y cuando este vacia devolvera el indice donde se vacio por completo.
info_desarrolladores,Alejandro,nose
invocaciones,Lucia,Cuenta la cantidad de veces que fue invocada cada funcion,agarro una funcion
leer_archivos_csv,Alejandro,leer archivos .csv y devuelve una lista de cada linea del archivo
leer_linea,N/N,lee una linea del archivo y devuelve una lista,Esta a diferencia de la otra leer_linea ya corta por espacio con el split()
leer_linea_clasico,N/N,lee una linea del archivo y devuelve una tupla
lineas_coment,Lucia,cuenta las lineas de comentarios que no sean de autor o ayuda
lista_de_funciones,Sofia Marchesini,Esta funcion crea una lista de funciones compuesta por los nombres de todas las funciones que se encuentran en el primer elemento de las lineas del archivo
listar_archivo,Lucia,convierte al archivo en una lista donde cada elemento es una linea del mismo
main,N/N,Funcion que arrancara el programa.
menu,N/N,Menu principal de nuestro programa,Esta es la funcion de menu principal de nuestro programa. Todo estara ejecutado desde aca.
mezcla,Alejandro,Mezcla Archivos CSV's
opcion_todo,Juan Godoy,Funcion que imprime todo lo relacionado con las funciones ?todo '# 'todo e imprimir ?todo,Se recorre todo el archivo secuencialmente para ir imprimiendo linea por linea segun el formato elegido.
opciones_funcion,Juan Godoy,Segun la opcion que se elija se imprime diferente informacion sobre las funciones,nombre_funcion = valor.replace(valor -1 ''),Mira con que finaliza la funcion e imprime el formato que corresponda.
ordenamiento_insercion,Nicolas,Algoritmo de ordenamiento por insercion visto en clase
organizar_archivo,Lucia,Crea un diccionario donde la calve es el nombre de la funcion que a su vez tiene un diccionario adentro donde las claves son los atributos de las columnas,Por los parametros el modulo y el nombre
panel_consultas,Juan Godoy,Funcion principal que pide el ingreso de una funcion y segun la opcion que elijas imprime diversas cosas,todo Muestra Informacion para cada una de la funciones que se muestra en pantalla\n imprimir ?todo enviar contenido de funciones a un archivo respete el espacio entre palabra y simbolo\n\n Enter para salir'),Mientras no se de enter se va iterando en dos conjuntos de opciones las que imprimen todo el archivo o la que busca funciones especificas.,todo Muestra Informacion para cada una de la funciones que se muestra en pantalla\n imprimir ?todo enviar contenido de funciones a un archivo respete el espacio entre palabra y simbolo\n\n Enter para salir')
panel_csv,Nicolas,Genera la escritura del archivo panel_general,Esta funcion ejecutara todo el proceso para meter la linea en el archivo
panel_general,Lucia,ejecuta todo es el main del programa
parametros,Lucia,Cuenta la cantidad de parametros
procesa_linea,Nicolas,Funcion que graba la linea segun condiciones
proceso_archivos,Nicolas,Va a validar las lineas del archivo para saber a cual de las dos salidas (comentarios y fuente unico) va a ir,Aca iran a parar las funciones para fuente codigo,Y aca las funciones para comentarios,Analizaremos la funcion y la dividiremos en dos listas para saber a que archivo pertenecen.,Reuno los parametros,Luego de desmenuzar los datos obligatorios entro al analisis de la funcion.,Si no es un def no es una funcion.Probablemente sea un from o un bloque principal.El enunciado no pide analizarlo.
reemplazar_string,Nicolas,Con la funcion replace reemplazaremos los datos del parametro reemplazar con otro parametro reemplazo
reunir_parametros,Nicolas,Reune los parametros necesarios
separador_archivos,Alejandro,Esta función recibe una lista con comentarios y fuente divide en dos listas acorde al nombre respectivo
tabla_consultas,Juan Godoy,Funcion que acumula nombres de funciones para luego dibujarlas en una tabla
texto_menu,N/N,N/N
tipo_archivos,Alejandro,valida si el archivo recibido es comentarios o fuente_unico
unir,Lucia,Une todas las funciones contadoras con el diccionario
validar_programa,Alejandro,Preguntaremos si hay alguna ruta en programas.txt
veces_invocadas,Sofia Marchesini,esta funcion crea un dicionario compuesto por la clave como la funcion invocada y el valor como las veces que esta funcion fue invocada,recorro todas las funciones y me fijo una a una si estan en la linea leida por funciones_invocadas,recorro todas las funciones de la lista de funciones,recorro todos los elementos de la linea que lei antes
